listing_type,id,name,author,author_alias,attribution_link,project_key,project_name,total_downloads,2026_03_11,2026_03_12,2026_03_13,2026_03_14,2026_03_15,2026_03_16,2026_03_17,2026_03_18,2026_03_19,2026_03_20,2026_03_21,2026_03_22,2026_03_23,2026_03_24,2026_03_25,2026_03_26,2026_03_27,2026_03_28,2026_03_29,2026_03_30,2026_03_31
map,yukina-kitakyushu-shimonoseki,北九州 (Kitakyūshū),ahkimn,Yukina-,https://github.com/ahkimn,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,88,27,5,4,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0
map,mfn-hamptonroads,Norfolk,crumpetime,crumpetime,https://github.com/crumpetime,crumpetime/sb-maps-orf,sb-maps-orf,85,0,0,2,5,6,0,0,0,0,0,1,0,3,0,0,0,3,0,0,65,0
map,yukina-matsuyama,松山 (Matsuyama),ahkimn,Yukina-,https://github.com/ahkimn,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,85,20,4,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0
map,jerusalem,Jerusalem,BarKuperman,BarKuperman,https://github.com/BarKuperman,barkuperman/jerusalem-sb-map,jerusalem-sb-map,81,20,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0
map,baltimore-dc-corridor,Baltimore-DC Corridor,rslurry,rslurry,https://github.com/rslurry,rslurry/subwaybuilder-maps,subwaybuilder-maps,74,0,0,0,0,0,0,0,0,0,2,5,0,7,0,0,8,10,4,0,38,0
map,puerto-rico,Puerto Rico,rslurry,rslurry,https://github.com/rslurry,rslurry/subwaybuilder-maps,subwaybuilder-maps,74,0,0,0,0,0,0,0,0,0,0,5,0,6,0,2,10,6,4,0,41,0
map,tampa-bay,Tampa Bay,rslurry,rslurry,https://github.com/rslurry,rslurry/subwaybuilder-maps,subwaybuilder-maps,74,14,3,2,3,1,0,1,1,2,1,4,0,0,0,0,0,0,0,0,42,0
map,providence,Providence,soccerjonj,soccerjonj,https://github.com/soccerjonj,soccerjonj/providence,Providence,72,11,2,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0
map,rotterdam-the-hague,Rotterdam-The Hague,ryandicicco,ryandicicco,https://github.com/ryandicicco,ryandicicco/subway-builder-maps,Subway-Builder-Maps,72,0,0,9,9,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,47,0
map,colorado-ski-country,Colorado Ski Country,soccerjonj,soccerjonj,https://github.com/soccerjonj,soccerjonj/colorado-ski-country,Colorado-Ski-Country,71,19,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0
map,yukina-nagoya,名古屋 (Nagoya),ahkimn,Yukina-,https://github.com/ahkimn,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,27,20
map,warsaw-val,Warsaw,Valdotorium,Valdotorium,https://github.com/Valdotorium,valdotorium/railyard-maps-2,Railyard-Maps-2,68,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,1,6,4,0,51,0
map,yukina-kagoshima-kirishima,鹿児島 (Kagoshima),ahkimn,Yukina-,https://github.com/ahkimn,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,68,21,5,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
map,greater-kuala-lumpur,Greater Kuala Lumpur,nzh0172,nzh0172,https://github.com/nzh0172,nzh0172/sb-malaysia-map-pack,sb-malaysia-map-pack,66,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,5,5,0,50,0
map,yukina-kochi,高知 (Kōchi),ahkimn,Yukina-,https://github.com/ahkimn,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,65,19,3,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
map,yukina-yamagata,山形 (Yamagata),ahkimn,Yukina-,https://github.com/ahkimn,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,64,21,6,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
map,yukina-niigata,新潟 (Niigata),ahkimn,Yukina-,https://github.com/ahkimn,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,63,29,5,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
map,naples,Naples,Maximilian284,Maximilian284,https://github.com/Maximilian284,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps,61,0,0,0,0,0,0,0,22,1,0,0,0,0,0,0,0,2,1,0,35,0
map,louisville,Louisville,soccerjonj,soccerjonj,https://github.com/soccerjonj,soccerjonj/louisville,Louisville,59,16,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
